,checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment,Installment,status n sex,Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,Category
0,less_than_0_DM,6,critical_account,radio_tv,1169,unknown_no_savings,greater_than_7_years,4,male_single,none,4,real_estate,67,none,own,2,skilled_employee,1,yes_registered,yes,0
1,0_to_200_DM,48,existing_credits_paid_duly,radio_tv,5951,less_than_100_DM,1_to_4_years,2,female_divorced_separated_married,none,2,real_estate,22,none,own,1,skilled_employee,1,none,yes,1
2,no_checking_account,12,critical_account,education,2096,less_than_100_DM,4_to_7_years,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,none,yes,0
3,less_than_0_DM,42,existing_credits_paid_duly,furniture,7882,less_than_100_DM,4_to_7_years,2,male_single,guarantor,4,savings_insurance,45,none,for_free,1,skilled_employee,2,none,yes,0
4,less_than_0_DM,24,delay_in_paying,car_new,4870,less_than_100_DM,1_to_4_years,3,male_single,none,4,unknown_no_property,53,none,for_free,2,skilled_employee,2,none,yes,1
5,no_checking_account,36,existing_credits_paid_duly,education,9055,unknown_no_savings,1_to_4_years,2,male_single,none,4,unknown_no_property,35,none,for_free,1,unskilled_resident,2,yes_registered,yes,0
6,no_checking_account,24,existing_credits_paid_duly,furniture,2835,500_to_1000_DM,greater_than_7_years,3,male_single,none,4,savings_insurance,53,none,own,1,skilled_employee,1,none,yes,0
7,0_to_200_DM,36,existing_credits_paid_duly,car_used,6948,less_than_100_DM,1_to_4_years,2,male_single,none,2,car_other,35,none,rent,1,management_self_employed,1,yes_registered,yes,0
8,no_checking_account,12,existing_credits_paid_duly,radio_tv,3059,greater_than_1000_DM,4_to_7_years,2,male_divorced_separated,none,4,real_estate,61,none,own,1,unskilled_resident,1,none,yes,0
9,0_to_200_DM,30,critical_account,car_new,5234,less_than_100_DM,unemployed,4,male_married_widowed,none,2,car_other,28,none,own,2,management_self_employed,1,none,yes,1
10,0_to_200_DM,12,existing_credits_paid_duly,car_new,1295,less_than_100_DM,less_than_1_year,3,female_divorced_separated_married,none,1,car_other,25,none,rent,1,skilled_employee,1,none,yes,1
11,less_than_0_DM,48,existing_credits_paid_duly,business,4308,less_than_100_DM,less_than_1_year,3,female_divorced_separated_married,none,4,savings_insurance,24,none,rent,1,skilled_employee,1,none,yes,1
12,0_to_200_DM,12,existing_credits_paid_duly,radio_tv,1567,less_than_100_DM,1_to_4_years,1,female_divorced_separated_married,none,1,car_other,22,none,own,1,skilled_employee,1,yes_registered,yes,0
13,less_than_0_DM,24,critical_account,car_new,1199,less_than_100_DM,greater_than_7_years,4,male_single,none,4,car_other,60,none,own,2,unskilled_resident,1,none,yes,1
